Land_Dutch,Country
(voormalig) Joegoslavië,former Yugoslavia
(voormalig) Tsjecho-Slowakije,former Tjecho-Slowakia
"(voormalige) Nederlandse Antillen, Aruba",former Dutch Antillen Aruba
(voormalige) Sovjet-Unie,former Sovjet Union
Afghanistan,Afghanistan
Afrika,Afrika
Albanië,Albania
Algerije,Algeria
Amerika,America
Amerikaans Samoa,American Samoa
Amerikaanse Maagdeneilanden,American Maagdeneilanden
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarctica
Antigua en Barbuda,Antigua and Barbuda
Argentinië,Argentina
Armenië,Armenia
Aruba,Aruba
Australië,Australia
Azerbeidzjan,Azerbaijan
Azië,Asia
Bahamas,Bahamas
Bahrein,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
België,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnië-Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazilië,Brazil
Brits Territorium in de Indische Oceaan,British Territory
Britse Maagdeneilanden,British Maagdeneilanden
Brunei,Brunei
Bulgarije,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodja,Cambodia
Canada,Canada
Caribisch Nederland,Caribic Netherlands
Caymaneilanden,Cayman Islands
Centraal-Afrikaanse Republiek,Central African Republic
Chili,Chile
China,China
Colombia,Colombia
Comoren,Comoros
Congo,Congo
Cookeilanden,Cook Islands
Costa Rica,Costa Rica
Cuba,Cuba
Curaçao,Curacao
Cyprus,Cyprus
Denemarken,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominicaanse Republiek,Dominican Republic
Duitsland,Germany
Ecuador,Ecuador
Egypte,Egypt
El Salvador,El Salvador
Equatoriaal-Guinea,Equatoriaal-Guinea
Eritrea,Eritrea
Estland,Estonia
Eswatini,Eswatini
Ethiopië,Ethiopia
Europa (inclusief Nederland),Europe (incl Netherlands)
Europese Unie (exclusief Nederland),EU (excl Netherlands)
Faeröer-eilanden,Farao Islands
Falklandeilanden,Falkland Islands
Federale Republiek Joegoslavië,Federal republic Yugoslavia
Fiji,Fiji
Filippijnen,Philippines
Finland,Finland
Frankrijk,France
Frans Guyana,French Guyana
Frans-Polynesië,French Polynesia
GIPS landen in de EU,GIPS countries in EU
Gabon,Gabon
Gambia,Gambia
Gazastrook en Westelijke Jordaanoever,Gaza
Geboorteland onbekend,unknown
Georgië,Georgia
Ghana,Ghana
Gibraltar,Gibraltar
Grenada,Grenada
Griekenland,Greece
Groenland,Greenland
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinee,Guinea
Guinee-Bissau,Guinee-Bissau
Guyana,Guyana
Haïti,Haiti
Honduras,Honduras
Hongarije,Hungary
Hongkong,Hong Kong
IJsland,Iceland
Ierland,Ireland
India,India
Indonesië,Indonesia
Irak,Iraq
Iran,Iran
Israël,Israel
Italië,Italy
Ivoorkust,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jemen,Yemen
Joegoslavië (oud),Yugoslavia
Jordanië,Jordan
Kaapverdië,Kape Verdi
Kameroen,Cameroon
Kanaaleilanden,Channel Islandas
Katar,Qatar
Kazachstan,Kazakhstan
Kenia,Kenya
Kirgizië,Kyrgyzstan
Kiribati,Kiribati
Koeweit,Kuwait
Kosovo,Kosovo
Kroatië,Croatia
Laos,Laos
Lesotho,Lesotho
Letland,Latvia
Libanon,Lebanon
Liberia,Liberia
Libië,Libya
Liechtenstein,Liechtenstein
Litouwen,Lithuania
Luxemburg,Luxembourg
Macau,Macau
Macedonië,Macedonia
Madagaskar,Madagascar
Malawi,Malawi
Maldiven,Maldives
Maleisië,Malaysia
Mali,Mali
Malta,Malta
Man,Man
Marokko,Morocco
Marshall-eilanden,Marshall Islands
Martinique,Martinique
Mauritanië,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
Micronesië (Federale Staten),Micronesia
Midden- en Oost-Europese landen in de EU,Middle and Eastern European EU countries
Moldavië,Moldova
Monaco,Monaco
Mongolië,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Mozambique,Mozambique
Myanmar,Myanmar
Namibië,Namibia
Nauru,Nauru
Nederland,Netherlands
Nederlandse Antillen (oud),Dutch Antillen
Nepal,Nepal
Nicaragua,Nicaragua
Niet-westerse geboortelanden,non-western
Nieuw-Caledonië,New Caledonia
Nieuw-Zeeland,New Zealand
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Noord-Korea,North Korea
